owner,repo,full_name,html_url,description,language,stargazers_count,forks_count,open_issues_count,archived,created_at,updated_at,pushed_at
pathwaycom,pathway-benchmarks,pathwaycom/pathway-benchmarks,https://github.com/pathwaycom/pathway-benchmarks,"Benchmarks for data processing systems: Pathway, Spark, Flink, Kafka Streams",Python,298,8,0,False,2023-04-17T09:42:18Z,2025-10-02T14:15:28Z,2025-07-03T13:34:39Z
chrthomsen,pygrametl,chrthomsen/pygrametl,https://github.com/chrthomsen/pygrametl,Official repository for pygrametl - ETL programming in Python,Python,297,43,7,False,2015-08-20T12:38:28Z,2025-09-26T17:49:47Z,2025-09-26T17:49:42Z
l-mds,local-data-stack,l-mds/local-data-stack,https://github.com/l-mds/local-data-stack,Slow & local data allows you to move fast and deliver business value for the 99.9% of the data challenges. ,Python,297,18,1,False,2024-10-26T15:35:24Z,2025-10-02T02:04:10Z,2025-09-30T16:32:34Z
Delta-F,DeltaTrader,Delta-F/DeltaTrader,https://github.com/Delta-F/DeltaTrader,Python Toolkit For Quantitative Trading,Python,294,106,1,False,2021-03-09T06:06:56Z,2025-09-22T07:13:23Z,2025-04-10T06:09:05Z
astronomer,airflow-chart,astronomer/airflow-chart,https://github.com/astronomer/airflow-chart,A Helm chart to install Apache Airflow on Kubernetes,Python,289,94,4,False,2020-01-22T21:12:21Z,2025-10-02T19:27:33Z,2025-10-02T19:34:54Z
Altinity,clickhouse-sink-connector,Altinity/clickhouse-sink-connector,https://github.com/Altinity/clickhouse-sink-connector,"Replicate data from MySQL, Postgres and MongoDB to ClickHouse®",Python,285,75,212,False,2022-03-21T08:32:44Z,2025-10-02T17:11:41Z,2025-10-02T22:55:07Z
ebonnal,streamable,ebonnal/streamable,https://github.com/ebonnal/streamable,concurrent & fluent interface for (async) iterables,Python,281,4,10,False,2023-07-23T13:21:55Z,2025-09-30T17:41:48Z,2025-09-29T20:40:46Z
fzliu,radient,fzliu/radient,https://github.com/fzliu/radient,"Radient turns many data types (not just text) into vectors for similarity search, RAG, regression analysis, and more.",Python,280,11,1,False,2024-02-16T23:18:02Z,2025-09-13T19:18:20Z,2025-09-01T22:43:55Z
GoogleCloudPlatform,cloud-data-quality,GoogleCloudPlatform/cloud-data-quality,https://github.com/GoogleCloudPlatform/cloud-data-quality,Data Quality Engine for BigQuery,Python,279,57,36,False,2021-03-19T17:32:50Z,2025-09-21T23:33:25Z,2025-05-19T19:29:11Z
attack68,rateslib,attack68/rateslib,https://github.com/attack68/rateslib,"A fixed income library for pricing bonds and bond futures, and derivatives such as interest rate swaps (IRS), cross-currency swaps (XCS) and FX swaps. Contains tools for full curveset construction with market standard optimisers and automatic differentiation (AD) and risk sensitivity calculations including delta and cross-gamma.",Python,277,52,36,False,2023-03-31T12:47:27Z,2025-09-30T09:19:30Z,2025-09-29T10:20:59Z
datnguye,dbterd,datnguye/dbterd,https://github.com/datnguye/dbterd,Generate the ERD as a code from dbt artifacts,Python,276,37,1,False,2022-06-24T07:35:31Z,2025-09-25T09:02:25Z,2025-09-15T03:18:17Z
pipeline-tools,gusty,pipeline-tools/gusty,https://github.com/pipeline-tools/gusty,Making DAG construction easier,Python,272,13,0,False,2020-02-11T22:22:47Z,2025-09-30T01:13:08Z,2025-09-30T01:13:04Z
datacoves,dbt-coves,datacoves/dbt-coves,https://github.com/datacoves/dbt-coves,CLI tool for dbt users to simplify creation of staging models (yml and sql) files,Python,267,20,36,False,2021-06-28T01:33:15Z,2025-10-01T13:51:51Z,2025-09-29T04:25:51Z
GAIR-NLP,ProX,GAIR-NLP/ProX,https://github.com/GAIR-NLP/ProX,[ICML 2025] Programming Every Example: Lifting Pre-training Data Quality Like Experts at Scale,Python,263,18,2,False,2024-09-09T12:33:23Z,2025-09-15T08:10:09Z,2025-07-08T05:24:48Z
astronomer,ask-astro,astronomer/ask-astro,https://github.com/astronomer/ask-astro,An end-to-end LLM reference implementation providing a Q&A interface for Airflow and Astronomer,Python,262,58,23,False,2023-09-07T18:18:37Z,2025-10-02T07:10:10Z,2025-07-15T12:22:58Z
epoch8,airflow-exporter,epoch8/airflow-exporter,https://github.com/epoch8/airflow-exporter,Airflow plugin to export dag and task based metrics to Prometheus.,Python,260,78,18,False,2018-08-02T13:15:54Z,2025-09-12T11:27:27Z,2025-06-01T15:48:27Z
xuwei95,ezdata,xuwei95/ezdata,https://github.com/xuwei95/ezdata,基于python和llm大模型开发的数据处理和任务调度系统。 支持数据源管理，数据模型管理，数据集成，数据查询API接口，低代码自定义数据处理任务模版，单任务及dag任务工作流调度等功能。集成了llm模块实现rag知识库问答，链接各数据源数据进行数据对话问答，交互式数据分析功能。,Python,249,53,4,False,2023-08-15T03:22:59Z,2025-09-29T06:38:46Z,2025-08-25T10:06:16Z
starburstdata,dbt-trino,starburstdata/dbt-trino,https://github.com/starburstdata/dbt-trino,The Trino (https://trino.io/) adapter plugin for dbt (https://getdbt.com),Python,248,67,42,False,2021-07-14T19:26:53Z,2025-09-28T04:39:39Z,2025-09-08T04:12:16Z
ray-project,deltacat,ray-project/deltacat,https://github.com/ray-project/deltacat,"A portable Pythonic Data Lakehouse powered by Ray that brings exabyte-level scalability and fast, ACID-compliant, change-data-capture to your ML and analytics workloads.",Python,243,39,23,False,2021-08-11T23:42:44Z,2025-10-01T22:36:05Z,2025-09-29T20:05:48Z
dbt-msft,dbt-sqlserver,dbt-msft/dbt-sqlserver,https://github.com/dbt-msft/dbt-sqlserver,dbt adapter for SQL Server and Azure SQL,Python,242,103,88,False,2019-06-25T20:14:56Z,2025-09-25T23:27:49Z,2025-09-22T20:12:16Z
morph-kgc,morph-kgc,morph-kgc/morph-kgc,https://github.com/morph-kgc/morph-kgc,Powerful RDF Knowledge Graph Generation with RML Mappings,Python,233,41,29,False,2020-11-11T11:54:10Z,2025-09-30T14:32:25Z,2025-08-26T09:46:13Z
mehd-io,pypi-duck-flow,mehd-io/pypi-duck-flow,https://github.com/mehd-io/pypi-duck-flow,"end-to-end data engineering project to get insights from PyPi using python, duckdb, MotherDuck & Evidence",Python,224,32,1,False,2024-01-29T13:18:52Z,2025-09-23T12:26:02Z,2025-06-30T16:16:45Z
duckdb,extension-template,duckdb/extension-template,https://github.com/duckdb/extension-template,"Template for DuckDB extensions to help you develop, test and deploy a custom extension",Python,223,87,21,False,2023-02-02T11:52:03Z,2025-09-28T21:22:33Z,2025-09-26T07:47:31Z
slidoapp,dbt-coverage,slidoapp/dbt-coverage,https://github.com/slidoapp/dbt-coverage,One-stop-shop for docs and test coverage of dbt projects.,Python,222,26,19,False,2021-10-25T12:51:58Z,2025-09-25T11:15:45Z,2025-09-25T11:15:42Z
kaxil,airflowctl,kaxil/airflowctl,https://github.com/kaxil/airflowctl,A CLI tool to streamline getting started with Apache Airflow™ and managing multiple Airflow projects,Python,220,17,6,True,2023-08-13T05:11:02Z,2025-09-03T13:46:02Z,2025-04-30T11:07:37Z
davidzajac1,zillacode,davidzajac1/zillacode,https://github.com/davidzajac1/zillacode,"Open Source LeetCode for PySpark, Spark, Pandas and DBT/Snowflake",Python,212,46,6,False,2024-08-15T02:15:48Z,2025-09-25T04:58:12Z,2025-06-27T18:52:52Z
tomasfarias,airflow-dbt-python,tomasfarias/airflow-dbt-python,https://github.com/tomasfarias/airflow-dbt-python,"A collection of Airflow operators, hooks, and utilities to elevate dbt to a first-class citizen of Airflow.",Python,208,39,13,False,2021-05-19T23:05:02Z,2025-09-22T18:51:50Z,2025-08-26T16:13:21Z
Yueming6568,DeltaEdit,Yueming6568/DeltaEdit,https://github.com/Yueming6568/DeltaEdit,,Python,208,21,3,False,2023-03-09T15:22:47Z,2025-09-18T18:23:06Z,2025-06-23T03:13:50Z
envy-ai,ComfyUI-ConDelta,envy-ai/ComfyUI-ConDelta,https://github.com/envy-ai/ComfyUI-ConDelta,Custom Conditioning Delta (ConDelta) nodes for ComfyUI,Python,207,12,7,False,2024-12-06T21:47:31Z,2025-09-14T16:23:42Z,2025-09-03T00:40:23Z
GoogleCloudPlatform,cortex-data-foundation,GoogleCloudPlatform/cortex-data-foundation,https://github.com/GoogleCloudPlatform/cortex-data-foundation,Data Foundation - Google Cloud Cortex Framework,Python,201,112,3,False,2022-03-04T21:43:55Z,2025-09-19T18:49:22Z,2025-09-19T18:50:31Z
ertis-research,kafka-ml,ertis-research/kafka-ml,https://github.com/ertis-research/kafka-ml,Kafka-ML: connecting the data stream with ML/AI frameworks (now TensorFlow and PyTorch!),Python,196,29,28,False,2020-04-20T10:36:57Z,2025-09-22T03:43:34Z,2025-06-18T11:53:35Z
mozilla,telemetry-airflow,mozilla/telemetry-airflow,https://github.com/mozilla/telemetry-airflow,Airflow configuration for Telemetry,Python,195,96,2,False,2016-05-10T16:23:34Z,2025-10-02T17:18:47Z,2025-10-02T17:18:52Z
Nike-Inc,spark-expectations,Nike-Inc/spark-expectations,https://github.com/Nike-Inc/spark-expectations,A Python Library to support running data quality rules while the spark job is running⚡,Python,188,58,16,False,2023-07-02T06:40:08Z,2025-10-02T21:17:01Z,2025-10-02T21:28:17Z
unytics,airbyte_serverless,unytics/airbyte_serverless,https://github.com/unytics/airbyte_serverless,"Airbyte made simple (no UI, no database, no cluster)",Python,183,16,0,False,2023-08-31T14:54:11Z,2025-09-01T16:12:51Z,2025-06-05T14:37:48Z
PicnicSupermarket,dbt-score,PicnicSupermarket/dbt-score,https://github.com/PicnicSupermarket/dbt-score,Linter for dbt metadata,Python,177,15,8,False,2024-02-13T13:42:50Z,2025-10-02T17:55:44Z,2025-09-23T15:38:57Z
dsaidgovsg,airflow-pipeline,dsaidgovsg/airflow-pipeline,https://github.com/dsaidgovsg/airflow-pipeline,An Airflow docker image preconfigured to work well with Spark and Hadoop/EMR,Python,175,59,4,False,2016-10-04T08:22:54Z,2025-08-07T12:21:33Z,2025-05-28T06:47:25Z
networktocode,diffsync,networktocode/diffsync,https://github.com/networktocode/diffsync,A utility library for comparing and synchronizing different datasets.,Python,173,32,50,False,2020-09-02T13:52:51Z,2025-09-26T18:28:33Z,2025-09-28T18:12:00Z
datafruit-dev,datafruit,datafruit-dev/datafruit,https://github.com/datafruit-dev/datafruit,declarative data engineering,Python,169,2,1,False,2025-04-12T16:57:25Z,2025-09-19T20:19:14Z,2025-08-25T23:12:00Z
nicholasyager,dbt-loom,nicholasyager/dbt-loom,https://github.com/nicholasyager/dbt-loom,A dbt-core plugin to weave together multi-project dbt-core deployments,Python,169,27,14,False,2023-07-14T20:39:14Z,2025-10-01T06:27:28Z,2025-08-23T02:56:55Z
dagster-io,mdsfest-opensource-mds,dagster-io/mdsfest-opensource-mds,https://github.com/dagster-io/mdsfest-opensource-mds,Demo Project for Open Source MDS,Python,168,23,2,False,2023-08-23T00:12:30Z,2025-08-27T04:08:41Z,2025-08-27T04:08:37Z
astronomer,airflow-provider-great-expectations,astronomer/airflow-provider-great-expectations,https://github.com/astronomer/airflow-provider-great-expectations,Great Expectations Airflow operator,Python,167,58,25,False,2020-11-05T20:13:51Z,2025-09-23T14:57:02Z,2025-09-29T18:37:50Z
Toloka,dbt-af,Toloka/dbt-af,https://github.com/Toloka/dbt-af,Distributed run of dbt models using Airflow,Python,165,13,3,False,2024-02-12T11:12:57Z,2025-09-30T20:15:50Z,2025-09-30T20:15:47Z
GoogleCloudPlatform,public-datasets-pipelines,GoogleCloudPlatform/public-datasets-pipelines,https://github.com/GoogleCloudPlatform/public-datasets-pipelines,"Cloud-native, data onboarding architecture for Google Cloud Datasets",Python,165,70,141,False,2021-04-09T19:17:21Z,2025-08-13T22:41:18Z,2025-07-28T07:38:27Z
ktanaka101,mcp-server-duckdb,ktanaka101/mcp-server-duckdb,https://github.com/ktanaka101/mcp-server-duckdb,"A Model Context Protocol (MCP) server implementation for DuckDB, providing database interaction capabilities",Python,165,18,3,False,2024-11-30T14:25:37Z,2025-09-25T02:51:57Z,2025-05-05T11:02:57Z
bryzgaloff,airflow-clickhouse-plugin,bryzgaloff/airflow-clickhouse-plugin,https://github.com/bryzgaloff/airflow-clickhouse-plugin,The most popular ClickHouse plugin for Airflow. 🔝 Top-1% downloads on PyPI: https://pypi.org/project/airflow-clickhouse-plugin! Based on mymarilyn/clickhouse-driver.,Python,163,42,9,False,2019-11-11T23:08:23Z,2025-09-30T21:28:42Z,2025-09-08T12:04:19Z
XiaoGu-G2020,DeltaForceMarketBot,XiaoGu-G2020/DeltaForceMarketBot,https://github.com/XiaoGu-G2020/DeltaForceMarketBot,三角洲行动交易行抢子弹工具,Python,163,24,21,False,2025-04-20T05:58:00Z,2025-10-01T22:43:42Z,2025-08-14T06:54:46Z
datachecks,dcs-core,datachecks/dcs-core,https://github.com/datachecks/dcs-core,Open Source Data Quality Monitoring.,Python,162,22,19,False,2023-07-15T17:29:44Z,2025-10-02T10:37:24Z,2025-09-26T15:16:17Z
gestaogovbr,Ro-dou,gestaogovbr/Ro-dou,https://github.com/gestaogovbr/Ro-dou,Gerador de DAGs no Apache Airflow para fazer clipping do Diário Oficial da União.,Python,160,54,29,False,2021-08-20T21:55:16Z,2025-10-02T14:09:12Z,2025-10-02T14:09:30Z
flexanalytics,dbt-business-intelligence,flexanalytics/dbt-business-intelligence,https://github.com/flexanalytics/dbt-business-intelligence,,Python,155,28,5,False,2022-04-09T00:17:56Z,2025-09-29T18:06:53Z,2025-07-16T22:11:24Z
StephenSorriaux,ansible-kafka-admin,StephenSorriaux/ansible-kafka-admin,https://github.com/StephenSorriaux/ansible-kafka-admin,"Manage your topic's configuration (partitions, replication factor, parameters), ACLs, quotas, users and get stats, without any effort with this library. It does not use the Kafka scripts and does not require ssh connection to the remote broker.",Python,154,50,11,False,2018-04-02T19:30:15Z,2025-09-30T09:36:30Z,2025-09-26T17:42:27Z
bitpicky,dbt-sugar,bitpicky/dbt-sugar,https://github.com/bitpicky/dbt-sugar,dbt-sugar is a CLI tool that allows users of dbt to have fun and ease performing actions around dbt models ,Python,153,20,46,False,2020-12-18T20:47:23Z,2025-08-27T12:25:41Z,2025-09-22T20:30:29Z
duckdb-in-action,examples,duckdb-in-action/examples,https://github.com/duckdb-in-action/examples,,Python,151,35,4,False,2023-09-05T16:54:35Z,2025-09-25T04:32:32Z,2025-07-25T08:40:15Z
astronomer,astronomer-providers,astronomer/astronomer-providers,https://github.com/astronomer/astronomer-providers,Airflow Providers containing Deferrable Operators & Sensors from Astronomer,Python,149,27,31,False,2021-07-23T20:02:30Z,2025-07-29T05:17:30Z,2025-09-29T18:37:47Z
slidoapp,dbt-superset-lineage,slidoapp/dbt-superset-lineage,https://github.com/slidoapp/dbt-superset-lineage,Make dbt docs and Apache Superset talk to one another,Python,149,21,3,False,2021-12-03T08:55:32Z,2025-09-25T10:49:30Z,2025-09-25T10:49:27Z
danthegoodman1,icedb,danthegoodman1/icedb,https://github.com/danthegoodman1/icedb,An in-process Parquet merge engine for better data warehousing in S3 with MVCC,Python,148,6,31,False,2022-11-04T22:57:10Z,2025-08-16T23:08:38Z,2025-05-27T21:57:58Z
zju3dv,deltar,zju3dv/deltar,https://github.com/zju3dv/deltar,"Code for ""DELTAR: Depth Estimation from a Light-weight ToF Sensor And RGB Image"", ECCV 2022",Python,148,7,3,False,2022-07-31T15:26:18Z,2025-09-28T19:48:58Z,2025-07-02T12:34:24Z
dbt-labs,dbt-jsonschema,dbt-labs/dbt-jsonschema,https://github.com/dbt-labs/dbt-jsonschema,,Python,147,51,38,False,2022-03-01T20:21:08Z,2025-09-26T09:56:07Z,2025-09-22T11:54:23Z
napalm-automation,napalm-logs,napalm-automation/napalm-logs,https://github.com/napalm-automation/napalm-logs,"Cross-vendor normalisation for network syslog messages, following the OpenConfig and IETF YANG models",Python,144,44,37,False,2017-03-14T14:30:19Z,2025-08-07T03:04:30Z,2025-07-02T15:28:13Z
50shadesofgwei,funding-rate-arbitrage,50shadesofgwei/funding-rate-arbitrage,https://github.com/50shadesofgwei/funding-rate-arbitrage,Delta-neutral funding rate arbitrage searcher,Python,144,37,4,False,2024-02-27T14:17:50Z,2025-09-30T12:09:41Z,2025-07-29T11:42:21Z
HemeraProtocol,hemera-indexer,HemeraProtocol/hemera-indexer,https://github.com/HemeraProtocol/hemera-indexer,"Decentralized, account-centric programmable indexing network for web3. Supports blockchain explorers, on-chain portfolios, social graphs, and ZK coprocessors. Open-source EVM-compatible indexer available.",Python,142,41,28,False,2024-05-07T11:14:38Z,2025-09-02T09:35:32Z,2025-09-26T10:31:55Z
pragunbhutani,dbt-llm-agent,pragunbhutani/dbt-llm-agent,https://github.com/pragunbhutani/dbt-llm-agent,LLM based AI Agent to automate Data Analysis for dbt projects with remote MCP server,Python,142,28,4,False,2024-02-11T09:55:38Z,2025-09-25T17:37:56Z,2025-07-31T09:39:35Z
hitachienergy,epiphany,hitachienergy/epiphany,https://github.com/hitachienergy/epiphany,Cloud and on-premises automation for Kubernetes centered industrial grade solutions.,Python,142,106,0,True,2019-01-08T14:38:51Z,2025-08-21T06:30:45Z,2025-05-12T08:31:35Z
kokes,od,kokes/od,https://github.com/kokes/od,Česká otevřená data,Python,136,15,154,False,2018-08-19T10:07:15Z,2025-09-12T22:43:54Z,2025-08-30T17:23:52Z
easysql,easy_sql,easysql/easy_sql,https://github.com/easysql/easy_sql,A library developed to ease the data ETL development process.,Python,134,28,7,False,2022-04-22T14:09:07Z,2025-02-10T03:42:58Z,2025-09-22T20:25:23Z
aws-samples,dbt-glue,aws-samples/dbt-glue,https://github.com/aws-samples/dbt-glue,This repository contains the dbt-glue adapter,Python,134,83,62,False,2021-12-06T18:34:33Z,2025-10-01T01:03:39Z,2025-10-01T01:03:34Z
pangeo-forge,pangeo-forge-recipes,pangeo-forge/pangeo-forge-recipes,https://github.com/pangeo-forge/pangeo-forge-recipes,Python library for building Pangeo Forge recipes.,Python,133,54,157,False,2020-07-21T16:13:48Z,2025-08-04T19:01:45Z,2025-09-05T13:05:01Z
chunkhound,chunkhound,chunkhound/chunkhound,https://github.com/chunkhound/chunkhound,Deep Research for Code & Files,Python,129,12,19,False,2025-06-04T07:41:58Z,2025-10-02T15:10:23Z,2025-10-02T16:00:37Z
DataKitchen,data-observability-installer,DataKitchen/data-observability-installer,https://github.com/DataKitchen/data-observability-installer,"Installer for DataKitchen's Open Source Data Observability Products. Data breaks. Servers break. Your toolchain breaks. Ensure your team is the first to know and the first to solve with visibility across and down your data estate. Save time with simple, fast data quality test generation and execution. Trust your data, tools, and systems end to end.",Python,127,12,6,False,2024-04-18T22:21:12Z,2025-10-02T15:45:40Z,2025-10-02T15:46:25Z
snap-research,DELTA_densetrack3d,snap-research/DELTA_densetrack3d,https://github.com/snap-research/DELTA_densetrack3d,DELTA: Dense Efficient Long-range 3D Tracking for Any video (ICLR 2025),Python,126,2,10,False,2025-01-22T20:04:17Z,2025-09-29T21:24:11Z,2025-04-06T23:20:15Z
dbt-labs,dbt-adapters,dbt-labs/dbt-adapters,https://github.com/dbt-labs/dbt-adapters,,Python,124,161,585,False,2023-08-05T19:35:00Z,2025-10-02T21:32:40Z,2025-10-02T23:19:33Z
173TECH,sayn,173TECH/sayn,https://github.com/173TECH/sayn,Data processing and modelling framework for automating tasks (incl. Python & SQL transformations).,Python,120,15,12,False,2020-04-22T12:07:08Z,2025-09-16T14:50:19Z,2025-09-16T15:09:06Z
owid,etl,owid/etl,https://github.com/owid/etl,A compute graph for loading and transforming OWID's data,Python,116,24,49,False,2021-09-17T12:41:57Z,2025-10-02T20:14:08Z,2025-10-02T20:15:33Z
aws-samples,amazon-mwaa-examples,aws-samples/amazon-mwaa-examples,https://github.com/aws-samples/amazon-mwaa-examples,"Amazon Managed Workflows for Apache Airflow (MWAA) Examples repository contains example DAGs, requirements.txt, plugins, and CloudFormation templates focused on Amazon MWAA.",Python,115,68,14,False,2021-03-01T22:29:28Z,2025-09-24T16:28:06Z,2025-07-09T15:29:20Z
capitalone,locopy,capitalone/locopy,https://github.com/capitalone/locopy,locopy: Loading/Unloading to Redshift and Snowflake using Python.,Python,113,50,8,False,2018-07-24T04:36:55Z,2025-09-06T19:51:10Z,2025-08-03T16:00:14Z
surfalytics,data-projects,surfalytics/data-projects,https://github.com/surfalytics/data-projects,Surfalytics projces on Data Engineering and Analytics,Python,112,39,0,False,2023-11-05T00:07:09Z,2025-09-10T03:48:41Z,2025-08-29T02:05:05Z
microsoft,dbt-fabric,microsoft/dbt-fabric,https://github.com/microsoft/dbt-fabric,,Python,111,38,31,False,2023-02-23T06:06:51Z,2025-09-25T23:27:53Z,2025-09-29T18:42:38Z
stac-utils,stac-geoparquet,stac-utils/stac-geoparquet,https://github.com/stac-utils/stac-geoparquet,"Convert STAC items between JSON, GeoParquet, pgstac, and Delta Lake.",Python,111,14,20,False,2022-06-01T20:42:02Z,2025-09-25T09:29:37Z,2025-09-30T14:42:27Z
PRQL,dbt-prql,PRQL/dbt-prql,https://github.com/PRQL/dbt-prql,dbt-prql allows writing PRQL in dbt models,Python,107,6,3,False,2022-05-29T19:24:30Z,2025-09-22T22:15:52Z,2025-09-29T17:02:25Z
feluelle,airflint,feluelle/airflint,https://github.com/feluelle/airflint,Enforce Best Practices for all your Airflow DAGs. ⭐,Python,104,2,4,False,2022-04-04T13:33:06Z,2025-07-17T03:50:49Z,2025-09-29T17:49:16Z
martandsingh,ApacheSpark,martandsingh/ApacheSpark,https://github.com/martandsingh/ApacheSpark,This repository will help you to learn about databricks concept with the help of examples. It will include all the important topics which we need in our real life experience as a data engineer. We will be using pyspark & sparksql for the development. At the end of the course we also cover few case studies.,Python,103,67,0,False,2022-05-10T02:31:23Z,2025-09-26T18:48:44Z,2025-09-26T07:06:18Z
sheldon1998,DeltaForceKeyBot,sheldon1998/DeltaForceKeyBot,https://github.com/sheldon1998/DeltaForceKeyBot,三角洲行动拍卖行自动挂卡工具,Python,103,15,0,False,2025-03-18T09:53:52Z,2025-09-25T12:44:57Z,2025-06-05T03:41:22Z
mehd-io,duckdb-extension-radar,mehd-io/duckdb-extension-radar,https://github.com/mehd-io/duckdb-extension-radar,This repo contains information about DuckDB extensions found on GitHub. Refreshed daily,Python,102,7,3,False,2023-02-24T12:54:44Z,2025-10-02T00:10:03Z,2025-10-02T00:10:00Z
